ma_uc,stt,ma_phan_he,phan_he,ten_uc,actor_chinh,actor_phu,bi_danh,bmt,so_trans,do_phuc_tap,la_tu_dong,pham_vi,trang_thai,nhom_excel,ghi_chu
UC-0017,17,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp DL theo yêu cầu truy vấn,Hệ thống,,,B,3,Đơn giản,1,,,,
UC-0018,18,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu DL tổng hợp theo yêu cầu truy vấn,QTHT,,,B,2,Đơn giản,,,,,
UC-0019,19,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi thông báo không có DL cho hệ thống M5,HT-M5,,,M,2,Đơn giản,,,,,
UC-0020,20,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông báo không có DL gửi cho hệ thống M5,QTHT,,,B,3,Đơn giản,,,,,
UC-0021,21,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi dữ liệu tổng hợp sang hệ thống M5,HT-M5,,,M,2,Đơn giản,,,,,
UC-0022,22,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi dữ liệu tổng hợp sang hệ thống XHTD,HT-XHTD,,,M,2,Đơn giản,,,,,
UC-0023,23,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận file dữ liệu đã được tổng hợp từ hệ thống XHTD,HT-XHTD,,,M,2,Đơn giản,,,,,
UC-0024,24,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi file dữ liệu đã được tổng hợp từ hệ thống XHTD sang hệ thống M5,HT-M5,,,M,2,Đơn giản,,,,,
UC-0025,25,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi kết quả cấp/gán mã CIC có đánh dấu liên kết với hệ thống M5,HT-M5,,,M,2,Đơn giản,,,,,
UC-0026,26,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông báo phản hồi kết quả xử lý cho yêu cầu gửi từ hệ thống M5,QTHT,,,B,3,Đơn giản,,,,,
UC-0027,27,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu phục vụ XHTD,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0028,28,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu đã tổng hợp phục vụ XHTD,QTHT,,,B,3,Đơn giản,,,,,
UC-0029,29,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu phục vụ CĐTD,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0030,30,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu đã tổng hợp phục vụ CĐTD,QTHT,,,B,3,Đơn giản,,,,,
UC-0031,31,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu phục vụ M4,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0032,32,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu đã tổng hợp phục vụ M4,QTHT,,,B,3,Đơn giản,,,,,
UC-0033,33,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu phục vụ Tính phí,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0034,34,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu đã tổng hợp phục vụ Tính phí,QTHT,,,B,3,Đơn giản,,,,,
UC-0035,35,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Ghi nhận kết quả chạy Job CĐTD&XHTD,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0036,36,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Khai thác kết quả CĐTD&XHTD,QTHT,,,B,3,Đơn giản,,,,,
UC-0037,37,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tạo thông tin yêu cầu truy vấn dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0038,38,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin yêu cầu truy vấn dữ liệu,QTHT,,,B,3,Đơn giản,,,,,
UC-0039,39,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tạo thông tin yêu cầu trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0040,40,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra thông tin cứu yêu cầu trao đổi dữ liệu,QTHT,,,B,3,Đơn giản,,,,,
UC-0041,41,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tạo và gửi gói tin truy vấn dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0042,42,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tạo và gửi gói tin trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0043,43,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin về gói tin truy vấn dữ liệu,QTHT,,,B,3,Đơn giản,,,,,
UC-0044,44,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin về gói tin trao đổi dữ liệu,QTHT,,,B,3,Đơn giản,,,,,
UC-0045,45,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận phản hồi về gói tin,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0046,46,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin phản hồi về gói tin,QTHT,,,B,3,Đơn giản,,,,,
UC-0047,47,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận gói tin phản hồi về dữ liệu truy vấn,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0048,48,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Lưu trữ dữ liệu truy vấn,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0049,49,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu truy vấn đã lưu trữ,QTHT,,,B,3,Đơn giản,,,,,
UC-0050,50,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận gói tin yêu cầu truy vấn/trao đổi dữ liệu,HT-C06 (Hệ thống tại CQQLNN),,,M,2,Đơn giản,,,,,
UC-0051,51,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Kiểm tra điều kiện gói tin yêu cầu truy vấn/trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0052,52,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi phản hồi kết quả kiểm tra gói tin cho hệ thống nguồn,HT-C06 (Hệ thống tại CQQLNN),,,M,2,Đơn giản,,,,,
UC-0053,53,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu phản hồi về kết quả gói tin gửi cho hệ thống nguồn,QTHT,,,B,3,Đơn giản,,,,,
UC-0054,54,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi gói tin yêu cầu truy vấn/trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0055,55,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin gói tin truy vấn/trao đổi dữ liệu đã nhận/gửi,QTHT,,,B,3,Đơn giản,,,,,
UC-0056,56,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận thông tin yêu cầu truy vấn/trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0057,57,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Thực hiện bóc tách và lưu trữ dữ liệu của gói tin trao đổi dữ liệu,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,1,Đơn giản,,,,,
UC-0058,58,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu dữ liệu đã lưu trữ vào hệ thống,QTHT,,,B,3,Đơn giản,,,,,
UC-0059,59,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu để trả lời cho gói tin truy vấn,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0060,60,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi thông tin dữ liệu phản hồi,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0061,61,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận gói tin dữ liệu phản hồi,"HT-XHTD, HT-CĐTD, HT-M5, Hệ thống (Hệ thống nội bộ)",,,M,2,Đơn giản,,,,,
UC-0062,62,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi gói tin dữ liệu phản hồi,HT-C06 (Hệ thống tại CQQLNN),,,M,2,Đơn giản,,,,,
UC-0063,63,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin về gói tin dữ liệu đã nhận/gửi,QTHT,,,B,3,Đơn giản,,,,,
UC-0064,64,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tạo và gửi yêu cầu truy vấn dữ liệu tới TCTD nước ngoài,HT-TCTDNN,,,M,2,Đơn giản,,,,,
UC-0065,65,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin yêu cầu truy vấn dữ liệu gửi tới TCTD nước ngoài,QTHT,,,B,3,Đơn giản,,,,,
UC-0066,66,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận yêu cầu truy vấn dữ liệu từ TCTD nước ngoài,HT-TCTDNN,,,M,2,Đơn giản,,,,,
UC-0067,67,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin yêu cầu truy vấn dữ liệu nhận từ TCTD nước ngoài,QTHT,,,B,3,Đơn giản,,,,,
UC-0068,68,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận phản hồi lỗi từ hệ thống của TCTD nước ngoài,HT-TCTDNN,,,M,2,Đơn giản,,,,,
UC-0069,69,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin phản hồi lỗi từ TCTD nước ngoài,QTHT,,,B,3,Đơn giản,,,,,
UC-0070,70,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tổng hợp dữ liệu để trả lời cho yêu cầu truy vấn dữ liệu từ TCTD nước ngoài,Hệ thống,,,B,2,Đơn giản,1,,,,
UC-0071,71,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi dữ liệu phản hồi cho TCTD nước ngoài,HT-TCTDNN,,,M,2,Đơn giản,,,,,
UC-0072,72,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin dữ liệu đã gửi trả lời cho yêu cầu truy vấn dữ liệu từ TCTD nước ngoài,QTHT,,,B,3,Đơn giản,,,,,
UC-0073,73,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận và lưu trữ thông tin dữ liệu thu thập được từ TCTD nước ngoài,HT-TCTDNN,,,M,2,Đơn giản,,,,,
UC-0074,74,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin dữ liệu thu thập được từ TCTD nước ngoài,QTHT,,,B,3,Đơn giản,,,,,
UC-0075,75,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Nhận gói tin dữ liệu/yêu cầu truy vấn từ TCTD,HT-TCTD,,,M,2,Đơn giản,,,,,
UC-0076,76,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu thông tin gói tin dữ liệu/yêu cầu truy vấn từ TCTD,QTHT,,,B,3,Đơn giản,,,,,
UC-0077,77,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Gửi gói tin dữ liệu phản hồi cho TCTD,HT-TCTD,,,M,2,Đơn giản,,,,,
UC-0078,78,KKN,QUẢN LÝ KÊNH TRAO ĐỔI DỮ LIỆU,Tra cứu gói tin dữ liệu đã gửi cho TCTD,QTHT,,,B,3,Đơn giản,,,,,
UC-0079,79,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Gửi dữ liệu có cấu trúc xác định theo định dạng json qua Web CIC - D10 thông tin định danh khách hàng vay phát sinh,ĐVGBC,,,B,2,Đơn giản,,,,,
UC-0080,80,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D10 thông tin định danh khách hàng vay phát sinh,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0081,81,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D11 thông tin định danh khách hàng vay cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0082,82,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file có cấu trúc xác định theo định dạng json qua API - D12 thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0083,83,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D20 thông tin tài chính khách hàng vay doanh nghiệp,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0084,84,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D31 thông tin quan hệ tín dụng rút gọn,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0085,85,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D32 thông tin quan hệ tín dụng cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0086,86,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D33 thông tin thẻ tín dụng rút gọn,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0087,87,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D34 thông tin thẻ tín dụng cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0088,88,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D35 thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0089,89,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D40 thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0090,90,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D50 thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0091,91,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D60 thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0092,92,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D70 thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0093,93,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - Q11 Tệp thông tin định danh khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0094,94,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - Q12 Thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0095,95,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - Q32 Thông tin về quan hệ tín dụng (không bao gồm thông tin về thẻ tín dụng, mua và ủy thác mua trái phiếu doanh nghiệp)",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0096,96,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - Q40 Thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0097,97,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - DKQ Tệp kết quả tự phân loại nợ,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0098,98,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua API - D36 Thông tin trích lập dự phòng rủi ro cuối quý,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0099,99,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D10 thông tin định danh khách hàng vay phát sinh,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0100,100,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D11 thông tin định danh khách hàng vay cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0101,101,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D12 thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0102,102,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D20 thông tin tài chính khách hàng vay doanh nghiệp,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0103,103,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D31 thông tin quan hệ tín dụng rút gọn,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0104,104,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D32 thông tin quan hệ tín dụng cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0105,105,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D33 thông tin thẻ tín dụng rút gọn,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0106,106,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D34 thông tin thẻ tín dụng cuối tháng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0107,107,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D35 thông tin thống kê tình hình giải ngân, trả nợ của khách hàng",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0108,108,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D40 thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0109,109,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D50 thông tin mua và ủy thác mua trái phiếu doanh nghiệp (không bao gồm TCTD),CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0110,110,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D60 thông tin hoạt động xử lý nợ xấu nội bảng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0111,111,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - D70 thông tin dư nợ tại VAMC,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0112,112,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - Q11 Tệp thông tin định danh khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0113,113,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - Q12 Thông tin về người có liên quan của khách hàng vay,CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0114,114,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,"Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - Q32 Thông tin về quan hệ tín dụng (không bao gồm thông tin về thẻ tín dụng, mua và ủy thác mua trái phiếu doanh nghiệp)",CB-TTXLDL,,,B,2,Đơn giản,,,,,
UC-0115,115,XLDL,THU THẬP XỬ LÝ DỮ LIỆU,Tiếp nhận và kiểm tra file dữ liệu có cấu trúc xác định theo định dạng json qua kênh H2H - Q40 Thông tin về biện pháp bảo đảm cấp tín dụng,CB-TTXLDL,,,B,2,Đơn giản,,,,,
